#{"t_start": 1717770471.9942374, "env_id": "Marlin-v1"}
r,l,t
-215.969288,200,87.084431
-214.917252,200,175.310651
-218.059862,200,275.847509
-206.379266,200,367.252675
-313.380876,200,511.687607
-415.129796,185,633.000428
-214.960664,200,730.964686
-186.037156,200,805.276463
-431.117792,200,985.600694
-186.024166,200,1067.957079
-393.365027,200,1215.733972
-181.076484,200,1290.573046
-196.937528,200,1369.166428
-257.049057,200,1449.80159
-193.208022,200,1522.566929
-201.040084,200,1601.067164
-392.66597,200,1745.450819
-176.851752,200,1822.651292
-189.847731,200,1901.22269
-187.622641,200,1978.350822
-206.404127,200,2062.799447
-217.799417,200,2159.793176
-181.051944,200,2231.331746
-268.689456,200,2328.14761
-211.090952,200,2408.001727
-226.149813,200,2495.23104
-277.062511,200,2617.82724
-206.507832,200,2699.077513
-191.108288,200,2771.170174
-189.162757,200,2856.643993
-199.50484,200,2950.647736
-198.939437,200,3036.36061
-257.383309,200,3155.720578
-206.361638,200,3247.220404
-194.331145,200,3329.397918
-314.052071,200,3421.282646
-190.495193,200,3511.774768
-315.376644,200,3655.958452
-500.348912,200,3887.952465
-183.480476,200,3973.951754
-261.428632,200,4095.598011
-234.673328,200,4201.673347
-194.433928,200,4286.885816
-360.827194,200,4456.633972
-260.611132,200,4574.719188
-433.989817,200,4730.675968
-316.2536,200,4856.184976
-182.25447,200,4936.536711
-189.249953,200,5012.160837
-327.549935,192,5140.841143
-279.485131,200,5849.710848
-193.204423,200,5932.447482
-181.59399,200,6011.951022
-183.473107,200,6090.0557
-189.860765,200,6167.180736
-188.611861,200,6243.020511
-185.690265,200,6318.998072
-185.863299,200,6403.83799
-192.789753,200,6486.715174
-190.513145,200,6566.507117
-189.160283,200,6640.282522
-193.592607,200,6714.436019
-192.156302,200,6793.085198
-190.666342,200,6866.362521
-189.510835,200,6941.874401
-193.422464,200,7019.125862
-192.592518,200,7096.761188
-191.073568,200,7174.619473
-192.722626,200,7250.450904
-197.042268,200,7323.201293
-191.332172,200,7399.530088
-188.680399,200,7475.760936
-194.11737,200,7550.523228
-187.898315,200,7626.40964
-190.810501,200,7704.554337
-190.667588,200,7789.094666
-190.044332,200,7866.620789
-183.087737,200,7941.816287
-189.013918,200,8012.737284
-187.451754,200,8089.760256
-189.088222,200,8174.777354
-184.402632,200,8247.165027
-187.252635,200,8326.548028
-185.084079,200,8407.601843
-189.441904,200,8482.323673
-186.016989,200,8558.705587
-193.97964,200,8636.269678
-184.445593,200,8709.259291
-190.511538,200,8783.832577
-182.329717,200,8861.532363
-185.092348,200,8940.25621
-187.884018,200,9015.467577
-188.33907,200,9091.647055
-189.192234,200,9169.343269
-185.661013,200,9243.755994
-186.401806,200,9318.034403
-184.019827,200,9394.106601
-185.24915,200,9465.343908
-183.417579,200,9539.033337
-185.223684,200,9615.423416
-188.762827,200,11143.626297
-182.434161,200,11218.233018
-185.734948,200,11291.81109
-185.334849,200,11364.91688
-179.726639,200,11438.596235
-189.144278,200,11516.282061
-186.809236,200,11590.325473
-185.988311,200,11666.978547
-186.820935,200,11739.354564
-187.401804,200,11821.969659
-187.888423,200,11895.246256
-187.955087,200,11971.65582
-185.4298,200,12045.381753
-182.973289,200,12120.029118
-184.036519,200,12197.122859
-184.01472,200,12273.842702
-184.907925,200,12347.399949
-186.484877,200,12422.310548
-179.935159,200,12499.099408
-188.882651,200,12571.341743
-183.636312,200,12647.315155
-180.211799,200,12725.010332
-176.228214,200,12802.534106
-179.5093,200,12882.039748
-187.181201,200,12958.414227
-183.757083,200,13036.026058
-181.04808,200,13106.187712
-182.339225,200,13177.953117
-177.248682,200,13253.004315
-182.709659,200,13325.457397
-180.976146,200,13400.925167
-182.132784,200,13473.970668
-186.69231,200,13548.762775
-186.13237,200,13622.661831
-182.43627,200,13695.430508
-182.854201,200,13767.308546
-184.621871,200,13842.077598
-183.33104,200,13915.501521
-186.425929,200,13990.547428
-180.495914,200,14063.142206
-182.716962,200,14138.13392
-185.338185,200,14214.333682
-183.035261,200,14287.040175
-184.380961,200,14360.520115
-182.685802,200,14436.646367
-181.366233,200,14509.164399
-179.843332,200,14582.647948
-181.197535,200,14660.633072
-185.29323,200,14731.461718
-176.46373,200,14813.286052
-178.958101,200,16131.983339
-183.256822,200,16207.446169
-185.049171,200,16279.387253
-184.202764,200,16355.685227
-178.549626,200,16429.803565
-186.241835,200,16500.898924
-186.984524,200,16574.890139
-183.805359,200,16649.961749
-185.87136,200,16724.962569
-181.762732,200,16797.773345
-181.063485,200,16881.556582
-185.719606,200,16954.793813
-181.239202,200,17031.806378
-187.061091,200,17104.358958
-183.46492,200,17176.625448
-188.746382,200,17247.636413
-186.280452,200,17319.659186
-177.850384,200,17396.902827
-181.584686,200,17474.842692
-182.37737,200,17550.255191
-181.880172,200,17623.243249
-181.210776,200,17694.32305
-182.023821,200,17767.990192
-184.13538,200,17843.470654
-182.616534,200,17917.786225
-185.005391,200,17991.11552
-181.543178,200,18066.562007
-180.024251,200,18141.186865
-182.391453,200,18214.658165
-182.251873,200,18289.997789
-177.576887,200,18366.56471
-179.529871,200,18448.812497
-179.922614,200,18522.74187
-181.667329,200,18595.671292
-181.9207,200,18670.263499
-184.095371,200,18743.421413
-187.208866,200,18815.819221
-183.636168,200,18892.348901
-183.177703,200,18962.223165
-183.945257,200,19037.605592
-178.247078,200,19109.561135
-180.699232,200,19185.642712
-183.715254,200,19260.448436
-187.327474,200,19335.183147
-180.437936,200,19410.235148
